"","nrows","train_accuracy","cv_accuracy"
"1",2,0.8768,0.823308270676692
"2",12,0.8992,0.819548872180451
"3",22,0.8896,0.827067669172932
"4",32,0.8848,0.819548872180451
"5",42,0.8944,0.827067669172932
"6",52,0.8992,0.827067669172932
"7",62,0.8864,0.815789473684211
"8",72,0.8752,0.857142857142857
"9",82,0.8896,0.830827067669173
"10",92,0.8944,0.81203007518797
"11",102,0.8688,0.796992481203007
"12",112,0.8944,0.804511278195489
"13",122,0.9024,0.830827067669173
"14",132,0.8992,0.823308270676692
"15",142,0.8832,0.834586466165414
"16",152,0.8944,0.823308270676692
"17",162,0.8912,0.808270676691729
"18",172,0.8688,0.834586466165414
"19",182,0.8816,0.830827067669173
"20",192,0.8816,0.81203007518797
"21",202,0.896,0.796992481203007
"22",212,0.8768,0.827067669172932
"23",222,0.8704,0.823308270676692
"24",232,0.8992,0.827067669172932
"25",242,0.8768,0.838345864661654
"26",252,0.8912,0.853383458646617
"27",262,0.8848,0.834586466165414
"28",272,0.8912,0.815789473684211
"29",282,0.896,0.842105263157895
"30",292,0.8688,0.853383458646617
"31",302,0.8768,0.827067669172932
"32",312,0.8976,0.827067669172932
"33",322,0.8816,0.830827067669173
"34",332,0.8864,0.838345864661654
"35",342,0.8864,0.827067669172932
"36",352,0.896,0.834586466165414
"37",362,0.8912,0.808270676691729
"38",372,0.8736,0.808270676691729
"39",382,0.8816,0.823308270676692
"40",392,0.904,0.793233082706767
"41",402,0.9008,0.842105263157895
"42",412,0.8656,0.800751879699248
"43",422,0.8784,0.827067669172932
"44",432,0.896,0.834586466165414
"45",442,0.888,0.800751879699248
"46",452,0.8816,0.834586466165414
"47",462,0.8864,0.823308270676692
"48",472,0.8944,0.815789473684211
"49",482,0.8768,0.834586466165414
"50",492,0.8624,0.808270676691729
"51",502,0.8896,0.789473684210526
"52",512,0.8848,0.823308270676692
"53",522,0.904,0.823308270676692
"54",532,0.8688,0.81203007518797
"55",542,0.872,0.830827067669173
"56",552,0.8976,0.819548872180451
"57",562,0.8608,0.819548872180451
"58",572,0.8816,0.834586466165414
"59",582,0.8816,0.827067669172932
"60",592,0.8864,0.842105263157895
"61",602,0.8848,0.842105263157895
"62",612,0.8768,0.827067669172932
"63",622,0.8816,0.823308270676692
