"","nrows","train_accuracy","cv_accuracy"
"1",25,0.92,0.729323308270677
"2",50,0.9,0.736842105263158
"3",75,0.88,0.578947368421053
"4",100,0.86,0.5
"5",125,0.912,0.710526315789474
"6",150,0.9,0.710526315789474
"7",175,0.908571428571429,0.774436090225564
"8",200,0.905,0.744360902255639
"9",225,0.906666666666667,0.755639097744361
"10",250,0.9,0.766917293233083
"11",275,0.898181818181818,0.793233082706767
"12",300,0.88,0.793233082706767
"13",325,0.895384615384615,0.808270676691729
"14",350,0.888571428571429,0.796992481203007
"15",375,0.874666666666667,0.785714285714286
"16",400,0.8925,0.823308270676692
"17",425,0.88,0.808270676691729
"18",450,0.893333333333333,0.81203007518797
"19",475,0.898947368421053,0.793233082706767
"20",500,0.882,0.793233082706767
"21",525,0.876190476190476,0.823308270676692
"22",550,0.896363636363636,0.804511278195489
"23",575,0.909565217391304,0.81203007518797
"24",600,0.893333333333333,0.815789473684211
"25",625,0.8896,0.808270676691729
