"passengerid","survived","pclass","sex","age","sibsp","parch","fare","embarked","title","deck","ageclass","familysize"
760,"yes","1","female",33,0,0,86.5,"S","Mrs.","B","adult",1
505,"yes","1","female",16,0,0,86.5,"S","Miss.","B","teen",1
258,"yes","1","female",30,0,0,86.5,"S","Miss.","B","adult",1
559,"yes","1","female",39,1,1,79.65,"S","Mrs.","E","adult",3
586,"yes","1","female",18,0,2,79.65,"S","Miss.","E","teen",3
263,"no","1","male",52,1,1,79.65,"S","Mr.","E","adult",3
476,"no","1","male",46.6,0,0,52,"S","Mr.","A","adult",1
111,"no","1","male",47,0,0,52,"S","Mr.","C","adult",1
1227,NA,"1","male",30,0,0,26,"S","Mr.","C","adult",1
1050,NA,"1","male",42,0,0,26.55,"S","Mr.","D","adult",1
431,"yes","1","male",28,0,0,26.55,"S","Mr.","C","adult",1
367,"yes","1","female",60,1,0,75.25,"C","Mrs.","D","senior",2
1128,NA,"1","male",64,1,0,75.25,"C","Mr.","D","senior",2
1083,NA,"1","male",25,0,0,26,"S","Mr.","U","adult",1
171,"no","1","male",61,0,0,33.5,"S","Mr.","B","senior",1
463,"no","1","male",47,0,0,38.5,"S","Mr.","E","adult",1
330,"yes","1","female",16,0,1,57.9792,"C","Miss.","B","teen",2
524,"yes","1","female",44,0,1,57.9792,"C","Mrs.","B","adult",2
890,"yes","1","male",26,0,0,30,"C","Mr.","C","adult",1
605,"yes","1","male",35,0,0,26.55,"C","Mr.","U","adult",1
508,"yes","1","male",12.3,0,0,26.55,"S","Mr.","U","teen",1
188,"yes","1","male",45,0,0,26.55,"S","Mr.","U","adult",1
807,"no","1","male",39,0,0,0,"S","Mr.","A","adult",1
1158,NA,"1","male",19.3,0,0,0,"S","Mr.","U","teen",1
634,"no","1","male",22.2,0,0,0,"S","Mr.","U","adult",1
888,"yes","1","female",19,0,0,30,"S","Miss.","B","teen",1
1264,NA,"1","male",49,0,0,0,"S","Mr.","B","adult",1
816,"no","1","male",47.7,0,0,0,"S","Mr.","B","adult",1
264,"no","1","male",40,0,0,0,"S","Mr.","B","adult",1
210,"yes","1","male",40,0,0,31,"C","Mr.","A","adult",1
1132,NA,"1","female",55,0,0,27.7208,"C","Mrs.","U","adult",1
1260,NA,"1","female",45,0,1,59.4,"C","Mrs.","U","adult",2
1294,NA,"1","female",22,0,1,59.4,"C","Miss.","U","adult",2
767,"no","1","male",26.7,0,0,39.6,"C","Mr.","U","adult",1
1197,NA,"1","female",64,1,1,26.55,"S","Mrs.","B","senior",3
712,"no","1","male",11,0,0,26.55,"S","Mr.","C","teen",1
1107,NA,"1","male",42,0,0,42.5,"S","Mr.","B","adult",1
332,"no","1","male",45.5,0,0,28.5,"S","Mr.","C","adult",1
1247,NA,"1","male",50,0,0,26,"S","Mr.","E","adult",1
537,"no","1","male",45,0,0,26.55,"S","Mr.","B","adult",1
453,"no","1","male",30,0,0,27.75,"C","Mr.","C","adult",1
920,NA,"1","male",41,0,0,30.5,"S","Mr.","A","adult",1
858,"yes","1","male",51,0,0,26.55,"S","Mr.","E","adult",1
285,"no","1","male",43.1,0,0,26,"S","Mr.","A","adult",1
84,"no","1","male",28,0,0,47.1,"S","Mr.","U","adult",1
1295,NA,"1","male",17,0,0,47.1,"S","Mr.","U","teen",1
783,"no","1","male",29,0,0,30,"S","Mr.","D","adult",1
378,"no","1","male",27,0,2,211.5,"C","Mr.","C","adult",3
966,NA,"1","female",35,0,0,211.5,"C","Miss.","C","adult",1
